provincia;coordenadas
Buenos Aires;-34.61315, -58.37723
Córdoba;-31.4135, -64.18105
La Pampa;-36.61667, -64.28333
Tierra del Fuego;-54.81084, -68.31591
Santa Cruz;-51.62261, -69.21813
Chubut;-45.86413, -67.49656
Río Negro;-40.81345, -62.99668
Corrientes;-27.46784, -58.8344
Neuquén;-38.95161, -68.0591
San Luis;-33.29501, -66.33563
Catamarca;-28.46957, -65.78524
Formosa;-26.18489, -58.17313
La Rioja;-29.41105, -66.85067
Mendoza;-32.89084, -68.82717
Tucumán;-26.82414, -65.2226
Salta;-24.7859, -65.41166
Santa Fe;-31.64881, -60.70868
San Juan;-31.5375, -68.53639
Chaco;-27.46056, -58.98389
Santiago del Estero;-27.79511, -64.26149
Misiones;-27.36708, -55.89608
Jujuy;-24.19457, -65.29712
Bahía Blanca;-38.71959, -62.27243
Entre Ríos;-31.73271, -60.52897
