,fecha,provincia,tot_casosconf,penetracion_casos
0,2020-03-02,CABA,1,0
1,2020-03-09,CABA,11,0
2,2020-03-10,CABA,21,0
3,2020-03-11,CABA,23,0
4,2020-03-12,CABA,33,0
5,2020-03-13,CABA,36,0
6,2020-03-14,CABA,47,0
7,2020-03-15,CABA,54,0
8,2020-03-16,CABA,65,0
9,2020-03-17,CABA,74,0
10,2020-03-18,CABA,92,0
11,2020-03-19,CABA,123,0
12,2020-03-20,CABA,140,0
13,2020-03-21,CABA,189,0
14,2020-03-22,CABA,238,0
15,2020-03-23,CABA,277,0
16,2020-03-24,CABA,332,0
17,2020-03-25,CABA,438,0
18,2020-03-26,CABA,534,1
19,2020-03-27,CABA,617,1
20,2020-03-28,CABA,718,1
21,2020-03-29,CABA,775,1
22,2020-03-30,CABA,891,1
23,2020-03-31,CABA,1003,1
24,2020-04-01,CABA,1075,1
25,2020-04-02,CABA,1194,1
26,2020-04-03,CABA,1316,1
27,2020-04-04,CABA,1414,1
28,2020-04-05,CABA,1517,2
29,2020-04-06,CABA,1584,2
30,2020-04-07,CABA,1686,2
31,2020-04-08,CABA,1751,2
32,2020-04-09,CABA,1847,2
33,2020-04-10,CABA,1924,2
34,2020-04-11,CABA,2058,2
35,2020-04-12,CABA,2178,2
36,2020-04-13,CABA,2248,2
37,2020-04-14,CABA,2366,2
38,2020-04-15,CABA,2535,3
39,2020-04-16,CABA,2616,3
40,2020-04-17,CABA,2718,3
41,2020-04-18,CABA,2804,3
42,2020-04-19,CABA,2903,3
43,2020-04-20,CABA,3005,3
44,2020-04-21,CABA,3125,3
45,2020-04-22,CABA,3244,3
46,2020-04-23,CABA,3408,3
47,2020-04-24,CABA,3574,4
48,2020-04-25,CABA,3756,4
49,2020-04-26,CABA,3873,4
50,2020-04-27,CABA,3974,4
51,2020-04-28,CABA,4101,4
52,2020-04-29,CABA,4264,4
53,2020-04-30,CABA,4396,4
54,2020-05-01,CABA,4490,4
55,2020-05-02,CABA,4589,5
56,2020-05-03,CABA,4728,5
57,2020-05-04,CABA,4863,5
58,2020-05-05,CABA,5001,5
59,2020-05-06,CABA,5185,5
60,2020-05-07,CABA,5335,5
61,2020-05-08,CABA,5578,6
62,2020-05-09,CABA,5754,6
63,2020-05-10,CABA,5992,6
64,2020-05-11,CABA,6215,6
65,2020-05-12,CABA,6546,7
66,2020-05-13,CABA,6838,7
67,2020-05-14,CABA,7110,7
68,2020-05-15,CABA,7434,7
69,2020-05-16,CABA,7768,8
70,2020-05-17,CABA,8026,8
71,2020-05-18,CABA,8330,8
72,2020-05-19,CABA,8752,9
73,2020-05-20,CABA,9244,9
74,2020-05-21,CABA,9877,10
75,2020-05-22,CABA,10600,11
76,2020-05-23,CABA,11337,11
77,2020-05-24,CABA,12042,12
78,2020-05-25,CABA,12609,13
79,2020-05-26,CABA,13190,13
80,2020-05-27,CABA,13902,14
81,2020-05-28,CABA,14656,15
82,2020-05-29,CABA,15375,15
83,2020-05-30,CABA,16174,16
84,2020-05-31,CABA,16826,17
85,2020-06-01,CABA,17377,17
86,2020-06-02,CABA,18274,18
87,2020-06-03,CABA,19228,19
88,2020-06-04,CABA,20127,20
89,2020-06-05,CABA,20988,21
90,2020-06-06,CABA,21972,22
91,2020-06-07,CABA,22754,23
92,2020-06-08,CABA,23559,24
93,2020-06-09,CABA,24701,25
94,2020-06-10,CABA,25907,26
95,2020-06-11,CABA,27282,27
96,2020-06-12,CABA,28683,29
97,2020-06-13,CABA,30172,30
98,2020-06-14,CABA,31489,31
99,2020-06-15,CABA,32704,33
100,2020-06-16,CABA,34070,34
101,2020-06-17,CABA,35480,35
102,2020-06-18,CABA,37351,37
103,2020-06-19,CABA,39432,39
104,2020-06-20,CABA,41096,41
105,2020-06-21,CABA,42657,43
106,2020-06-22,CABA,44847,45
107,2020-06-23,CABA,47024,47
108,2020-06-24,CABA,49691,50
109,2020-06-25,CABA,52275,52
110,2020-06-26,CABA,55117,55
111,2020-06-27,CABA,57616,58
112,2020-06-28,CABA,59821,60
113,2020-06-29,CABA,62156,62
114,2020-06-30,CABA,64386,64
115,2020-07-01,CABA,67043,67
116,2020-07-02,CABA,69770,70
117,2020-07-03,CABA,72625,73
118,2020-07-04,CABA,75202,75
119,2020-07-05,CABA,77707,78
120,2020-07-06,CABA,80286,80
121,2020-07-07,CABA,83224,83
122,2020-07-08,CABA,86764,87
123,2020-07-09,CABA,90460,90
124,2020-07-10,CABA,93860,94
125,2020-03-05,Buenos Aires,2,0
126,2020-03-08,Buenos Aires,10,0
127,2020-03-10,Buenos Aires,20,0
128,2020-03-11,Buenos Aires,22,0
129,2020-03-13,Buenos Aires,34,0
130,2020-03-15,Buenos Aires,60,0
131,2020-03-16,Buenos Aires,69,0
132,2020-03-17,Buenos Aires,70,0
133,2020-03-18,Buenos Aires,99,0
134,2020-03-19,Buenos Aires,115,0
135,2020-03-20,Buenos Aires,149,0
136,2020-03-21,Buenos Aires,203,0
137,2020-03-22,Buenos Aires,246,0
138,2020-03-23,Buenos Aires,282,0
139,2020-03-24,Buenos Aires,361,0
140,2020-03-25,Buenos Aires,417,0
141,2020-03-26,Buenos Aires,561,1
142,2020-03-27,Buenos Aires,653,1
143,2020-03-28,Buenos Aires,700,1
144,2020-03-29,Buenos Aires,762,1
145,2020-03-30,Buenos Aires,857,1
146,2020-03-31,Buenos Aires,984,1
147,2020-04-01,Buenos Aires,1065,1
148,2020-04-02,Buenos Aires,1170,1
149,2020-04-03,Buenos Aires,1288,1
150,2020-04-04,Buenos Aires,1380,1
151,2020-04-05,Buenos Aires,1485,1
152,2020-04-06,Buenos Aires,1567,2
153,2020-04-07,Buenos Aires,1662,2
154,2020-04-08,Buenos Aires,1733,2
155,2020-04-09,Buenos Aires,1824,2
156,2020-04-10,Buenos Aires,1913,2
157,2020-04-11,Buenos Aires,2012,2
158,2020-04-12,Buenos Aires,2170,2
159,2020-04-13,Buenos Aires,2238,2
160,2020-04-14,Buenos Aires,2344,2
161,2020-04-15,Buenos Aires,2505,3
162,2020-04-16,Buenos Aires,2601,3
163,2020-04-17,Buenos Aires,2704,3
164,2020-04-18,Buenos Aires,2790,3
165,2020-04-19,Buenos Aires,2888,3
166,2020-04-20,Buenos Aires,2983,3
167,2020-04-21,Buenos Aires,3092,3
168,2020-04-22,Buenos Aires,3205,3
169,2020-04-23,Buenos Aires,3371,3
170,2020-04-24,Buenos Aires,3495,3
171,2020-04-25,Buenos Aires,3701,4
172,2020-04-26,Buenos Aires,3837,4
173,2020-04-27,Buenos Aires,3942,4
174,2020-04-28,Buenos Aires,4051,4
175,2020-04-29,Buenos Aires,4230,4
176,2020-04-30,Buenos Aires,4351,4
177,2020-05-01,Buenos Aires,4461,4
178,2020-05-02,Buenos Aires,4634,5
179,2020-05-03,Buenos Aires,4766,5
180,2020-05-04,Buenos Aires,4820,5
